feature,attribute,weight
goals_per90,finishing,1.8
shotsOnTarget_per90,finishing,1.3
expectedGoals_per90,finishing,1.8
assists_per90,chance_creation,1.4
keyPasses_per90,chance_creation,1.5
expectedAssists_per90,chance_creation,1.6
accurateCrosses_per90,chance_creation,1.1
successfulDribbles_per90,ball_carrying,1.4
wasFouled_per90,ball_carrying,0.8
totalPasses_per90,passing,1.2
accurateFinalThirdPasses_per90,passing,1.3
accurateLongBalls_per90,passing,0.9
tackles_per90,defending,1.2
tacklesWon_per90,defending,1.3
interceptions_per90,defending,1.4
ballRecovery_per90,defending,1.2
clearances_per90,defending,1.0
aerialDuelsWon_per90,aerial,1.4
saves_per90,goalkeeping,1.8
goalsPrevented,goalkeeping,2.0
cleanSheet_per90,goalkeeping,1.0
rating,overall,1.5
