role,attribute,weight
GK,goalkeeping,2.0
GK,passing,0.5
GK,overall,0.8
CB,defending,2.0
CB,aerial,1.3
CB,passing,0.7
CB,overall,0.8
FB,defending,1.4
FB,chance_creation,1.0
FB,ball_carrying,0.8
FB,overall,0.8
DM,defending,1.7
DM,passing,1.2
DM,overall,0.8
CM,passing,1.6
CM,chance_creation,0.9
CM,defending,0.8
CM,overall,0.8
AM,chance_creation,1.8
AM,ball_carrying,1.0
AM,finishing,0.8
AM,overall,0.8
WM,chance_creation,1.5
WM,defending,0.9
WM,ball_carrying,0.8
WM,overall,0.8
W,chance_creation,1.5
W,ball_carrying,1.4
W,finishing,1.0
W,overall,0.8
ST,finishing,2.0
ST,chance_creation,0.7
ST,ball_carrying,0.5
ST,overall,0.8
