stat,aggregation,weight_by,enabled,include_in_model
competition,sum,,True,False
competition_type,sum,,True,False
competition_id,sum,,True,False
season_id,sum,,True,False
season_year,sum,,True,False
player_id,identity,,True,True
player,identity,,True,True
player_slug,identity,,True,True
team_id,sum,,True,False
team,sum,,True,False
team_slug,sum,,True,False
rating,weighted_mean,minutesPlayed,True,True
totalRating,sum,,True,False
countRating,sum,,True,False
goals,sum,,True,True
bigChancesCreated,sum,,True,True
bigChancesMissed,sum,,True,True
assists,sum,,True,True
expectedAssists,sum,,True,True
goalsAssistsSum,sum,,True,True
accuratePasses,sum,,True,True
inaccuratePasses,sum,,True,True
totalPasses,sum,,True,True
accuratePassesPercentage,weighted_mean,minutesPlayed,True,True
accurateOwnHalfPasses,sum,,True,True
accurateOppositionHalfPasses,sum,,True,True
accurateFinalThirdPasses,sum,,True,True
keyPasses,sum,,True,True
successfulDribbles,sum,,True,True
successfulDribblesPercentage,weighted_mean,minutesPlayed,True,True
tackles,sum,,True,True
interceptions,sum,,True,True
yellowCards,sum,,True,True
directRedCards,sum,,True,True
redCards,sum,,True,True
accurateCrosses,sum,,True,True
accurateCrossesPercentage,weighted_mean,minutesPlayed,True,True
totalShots,sum,,True,True
shotsOnTarget,sum,,True,True
shotsOffTarget,sum,,True,True
groundDuelsWon,sum,,True,True
groundDuelsWonPercentage,weighted_mean,minutesPlayed,True,True
aerialDuelsWon,sum,,True,True
aerialDuelsWonPercentage,weighted_mean,minutesPlayed,True,True
totalDuelsWon,sum,,True,True
totalDuelsWonPercentage,weighted_mean,minutesPlayed,True,True
minutesPlayed,sum,,True,True
goalConversionPercentage,weighted_mean,minutesPlayed,True,True
penaltiesTaken,sum,,True,True
penaltyGoals,sum,,True,True
penaltyWon,sum,,True,True
penaltyConceded,sum,,True,True
shotFromSetPiece,sum,,True,True
freeKickGoal,sum,,True,True
goalsFromInsideTheBox,sum,,True,True
goalsFromOutsideTheBox,sum,,True,True
shotsFromInsideTheBox,sum,,True,True
shotsFromOutsideTheBox,sum,,True,True
headedGoals,sum,,True,True
leftFootGoals,sum,,True,True
rightFootGoals,sum,,True,True
accurateLongBalls,sum,,True,True
accurateLongBallsPercentage,weighted_mean,minutesPlayed,True,True
clearances,sum,,True,True
errorLeadToGoal,sum,,True,True
errorLeadToShot,sum,,True,True
dispossessed,sum,,True,True
possessionLost,sum,,True,True
possessionWonAttThird,sum,,True,True
totalChippedPasses,sum,,True,True
accurateChippedPasses,sum,,True,True
touches,sum,,True,True
wasFouled,sum,,True,True
fouls,sum,,True,True
hitWoodwork,sum,,True,True
ownGoals,sum,,True,True
dribbledPast,sum,,True,True
offsides,sum,,True,True
blockedShots,sum,,True,True
passToAssist,sum,,True,True
saves,sum,,True,True
kilometersCovered,sum,,True,True
numberOfSprints,sum,,True,True
topSpeed,sum,,True,True
cleanSheet,sum,,True,True
penaltyFaced,sum,,True,True
penaltySave,sum,,True,True
savedShotsFromInsideTheBox,sum,,True,True
savedShotsFromOutsideTheBox,sum,,True,True
goalsConcededInsideTheBox,sum,,True,True
goalsConcededOutsideTheBox,sum,,True,True
punches,sum,,True,True
runsOut,sum,,True,True
successfulRunsOut,sum,,True,True
highClaims,sum,,True,True
crossesNotClaimed,sum,,True,True
matchesStarted,sum,,True,True
penaltyConversion,sum,,True,True
setPieceConversion,sum,,True,True
totalAttemptAssist,sum,,True,True
totalContest,sum,,True,True
totalCross,sum,,True,True
duelLost,sum,,True,True
aerialLost,sum,,True,True
attemptPenaltyMiss,sum,,True,True
attemptPenaltyPost,sum,,True,True
attemptPenaltyTarget,sum,,True,True
totalLongBalls,sum,,True,True
goalsConceded,sum,,True,True
tacklesWon,sum,,True,True
tacklesWonPercentage,weighted_mean,minutesPlayed,True,True
scoringFrequency,sum,,True,True
yellowRedCards,sum,,True,True
savesCaught,sum,,True,True
savesParried,sum,,True,True
totalOwnHalfPasses,sum,,True,True
totalOppositionHalfPasses,sum,,True,True
totwAppearances,sum,,True,True
expectedGoals,sum,,True,True
goalKicks,sum,,True,True
ballRecovery,sum,,True,True
outfielderBlocks,sum,,True,True
id,sum,,True,False
type,sum,,True,False
appearances,sum,,True,True
goalsPrevented,sum,,True,True
substitutionsIn,sum,,True,True
substitutionsOut,sum,,True,True
