competition_key,competition_name,unique_tournament_id,season_name,season_year_label,season_start_year,season_id
bundesliga,Bundesliga,35,Bundesliga 21/22,21/22,2021,37166
bundesliga,Bundesliga,35,Bundesliga 22/23,22/23,2022,42268
bundesliga,Bundesliga,35,Bundesliga 23/24,23/24,2023,52608
bundesliga,Bundesliga,35,Bundesliga 24/25,24/25,2024,63516
bundesliga,Bundesliga,35,Bundesliga 25/26,25/26,2025,77333
la_liga,La Liga,8,LaLiga 21/22,21/22,2021,37223
la_liga,La Liga,8,LaLiga 22/23,22/23,2022,42409
la_liga,La Liga,8,LaLiga 23/24,23/24,2023,52376
la_liga,La Liga,8,LaLiga 24/25,24/25,2024,61643
la_liga,La Liga,8,LaLiga 25/26,25/26,2025,77559
ligue_1,Ligue 1,34,Ligue 1 21/22,21/22,2021,37167
ligue_1,Ligue 1,34,Ligue 1 22/23,22/23,2022,42273
ligue_1,Ligue 1,34,Ligue 1 23/24,23/24,2023,52571
ligue_1,Ligue 1,34,Ligue 1 24/25,24/25,2024,61736
ligue_1,Ligue 1,34,Ligue 1 25/26,25/26,2025,77356
premier_league,Premier League,17,Premier League 21/22,21/22,2021,37036
premier_league,Premier League,17,Premier League 22/23,22/23,2022,41886
premier_league,Premier League,17,Premier League 23/24,23/24,2023,52186
premier_league,Premier League,17,Premier League 24/25,24/25,2024,61627
premier_league,Premier League,17,Premier League 25/26,25/26,2025,76986
serie_a,Serie A,23,Serie A 21/22,21/22,2021,37475
serie_a,Serie A,23,Serie A 22/23,22/23,2022,42415
serie_a,Serie A,23,Serie A 23/24,23/24,2023,52760
serie_a,Serie A,23,Serie A 24/25,24/25,2024,63515
serie_a,Serie A,23,Serie A 25/26,25/26,2025,76457
