formation,slot,role,x,y,tactical_line,side
4-3-3,GK,GK,0.0,0.0,0,center
4-3-3,FB1,FB,-1.8,1.5,1,left
4-3-3,CB1,CB,-0.6,1.3,1,left_center
4-3-3,CB2,CB,0.6,1.3,1,right_center
4-3-3,FB2,FB,1.8,1.5,1,right
4-3-3,DM1,DM,0.0,2.4,2,center
4-3-3,CM1,CM,-0.8,3.1,3,left
4-3-3,CM2,CM,0.8,3.1,3,right
4-3-3,W1,W,-1.9,4.3,4,left
4-3-3,ST1,ST,0.0,4.6,4,center
4-3-3,W2,W,1.9,4.3,4,right
4-2-3-1,GK,GK,0.0,0.0,0,center
4-2-3-1,FB1,FB,-1.8,1.5,1,left
4-2-3-1,CB1,CB,-0.6,1.3,1,left_center
4-2-3-1,CB2,CB,0.6,1.3,1,right_center
4-2-3-1,FB2,FB,1.8,1.5,1,right
4-2-3-1,DM1,DM,-0.6,2.4,2,left_center
4-2-3-1,DM2,DM,0.6,2.4,2,right_center
4-2-3-1,W1,W,-1.9,3.8,3,left
4-2-3-1,AM1,AM,0.0,3.7,3,center
4-2-3-1,W2,W,1.9,3.8,3,right
4-2-3-1,ST1,ST,0.0,4.7,4,center
