league_name,league_id,season_id_2023,season_id_2024,season_id_2025
ENG-Premier League,17,52186,61627,76986
ENG-EFL Championship,18,52367,61961,77347
ENG-EFL League One,24,52370,61959,77352
ENG-EFL League Two,25,52368,61960,77351
ENG-National League,173,52783,63807,78229
ESP-La Liga,8,52376,61643,77559
ESP-La Liga 2,54,52563,62048,77558
ESP-La Liga 3,17073,53271,64430,77727
GER-Bundesliga,35,52608,63516,77333
GER-2. Bundesliga,44,52607,63514,77354
GER-3. Liga,491,52815,63786,77744
GER-Regionalliga Nord,42,53003,63874,77796
GER-Regionalliga Nordost,1083,52794,63556,77748
GER-Regionalliga West,493,52841,63813,77987
GER-Regionalliga Südwest,1079,52958,63815,78007
GER-Regionalliga Bayern,1085,52399,61829,77988
ITA-Serie A,23,52760,63515,76457
ITA-Serie B,53,52947,63812,79502
"ITA-Serie C, Girone A",11445,53814,63975,79377
"ITA-Serie C, Girone B",11447,53815,63976,79378
"ITA-Serie C, Girone C",11446,53816,63973,79379
FRA-Ligue 1,34,52571,61736,77356
FRA-Ligue 2,182,52572,61737,77357
FRA-Championnat National,183,53055,64124,78599
POR-Primeira Liga,238,52769,63670,77806
POR-Liga Portugal 2,239,52770,63676,77801
NED-Eredivisie,37,52554,61666,77012
NED-Eerste Divisie,131,52556,61667,77156
TUR-Süper Lig,52,53190,63814,77805
TUR-TFF 1. Lig,98,53276,64425,77977
CZE-Czech First League,172,52364,61716,77019
RUS-Russian Premier League,203,52470,61712,77142
NOR-Eliteserien,20,47806,57322,70174
SWE-Allesvenskan,40,47730,57284,69956
POL-Ekstraklasa,202,52176,61236,76477
DEN-Danish Superliga,39,52172,61326,76491
GRE-Super Legue Greece,185,53223,64052,78175
HUN-Nemzeti Bajnokság I,187,52398,61714,76944
ROU-Liga I,152,52541,62837,77312
ISR-Israeli Premier League,266,52328,61932,77635
CHN-Chinese Super League,649,49950,58388,71364
BEL-Belgian Pro League,38,52383,61459,77040
BEL-Challenger Pro League,9,52384,61412,77849
CRO-HNL,170,52147,61243,76980
SVN-Prva Liga,212,52395,62660,77283
SVK-Slovak Premier League,211,52551,61728,77154
KAZ-Kazakhstan Premier League,682,48738,58620,72733
AUT-Austrian Bundesliga,45,52524,62629,77382
SUI-Swiss Super League,215,52366,61658,77152
SUI-Swiss Challenge League,216,52365,61670,77150
IRN-Persian Gulf Pro League,915,52957,65237,79503
USA-MLS,242,47955,57317,70158
USA-USL Championship,13363,48258,57319,70263
MEX-Liga MX Clausura,11620,47656,57315,70096
MEX-Liga MX Apertura,11621,52052,61419,76500
BRA-Brazilian Série A,325,48982,58766,72034
ARG-Liga Profesional de Fútbol,155,47647,57478,70268
PAR-Primera Division Apertura,11540,47643,57264,69799
PAR-Primera Division Clausura,11541,47642,63769,69831
SCO-Scottish Premiership,36,52588,62408,77128
PER-Liga 1,406,48078,57741,70962
IRL-League of Ireland Premier Division,192,47946,57285,69981
AUS-A League Men,136,54447,64864,82603
JPN-J1 League,196,48055,57353,69871
JPN-J2 League,402,48054,57365,70418
KOR-K League 1,410,48379,57878,70830
UZB-Uzbekistan Super League,772,48873,58275,72383
THA-Thai League 1,1032,52944,63500,78591
IND-Indian Super League,1900,54846,65961,89700
ECU-LigaPro Serie A,240,48720,58043,71184
COL-Primera A Apertura,11539,48283,57374,70681
COL-Primera A Finalización,11536,52847,63819,77825
AZB-Azerbaijan Premier League,709,53263,64075,78700
PAN-Primera División de Panamá Apertura,11534,48116,57748,70606
PAN-Primera División de Panamá Clausura,11533,52150,63805,77969
KSA-Saudi Pro League,955,53241,63998,80443
KSA-Saudi First Division League,2120,53243,63548,80448
QAT-Qatar Stars League,825,53587,63717,77227
EGY-Egyptian Premier League,808,55005,68147,79317
UAE-UAE Pro League,971,52547,64629,78315
TUN-Tunisian Ligue Professionnelle 1,984,53910,65503,78868
CYP-Cypriot First Division,171,53242,63498,78640
CHI-Primera División,11653,48017,57883,71131
MAR-Botola Pro,937,54108,65433,78750
SRB-Serbian SuperLiga,210,53417,61448,76909
RSA-Betway Premiership,358,53301,65113,79701
HAT-Ligue Haïtienne,27548,,77341,77300
VEN-Venezuelan League,231,48742,57694,71012
CRC-Liga Promerica Apertura,11535,52195,61711,78002
CRC-Liga Promerica Clausura,11542,47641,57367,70476
HON-Liga Nacional de Fútbol Profesional de Honduras Apertura,11613,53275,63997,77972
HON-Liga Nacional de Fútbol Profesional de Honduras Clausura,11614,48068,57750,70444
GHA-Ghana Premier League,1191,53685,64783,80357
JOR-Jordanian Pro League,929,52548,64480,78349
MAL-Malaysia Super League,1000,48623,59816,78325
IRQ-Iraq Stars League,24040,60624,66756,82297
FIN-Veikkausliiga,41,48608,57896,70853
BUL-First League,247,52173,61477,76882
ALG-Algerian Ligue 1,841,54499,64102,79568
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,tournament_id,2026_id,,
INT-FIFA World Cup,16,58210,,
