player_name,sofascore_player_id,current_team,current_team_id,nation,group,position,
Ronwen Williams,539792,Mamelodi Sundowns,7665,South Africa,A,GK,
Sipho Chaine,903610,Orlando Pirates,7668,South Africa,A,GK,
Aubrey Modiba,837099,Mamelodi Sundowns,7665,South Africa,A,FB,
Khuliso Mudau,936047,Mamelodi Sundowns,7665,South Africa,A,FB,
Mbekezeli Mbokazi,2058228,Chicago Fire,2505,South Africa,A,CB,
Ime Okon,1507710,Hannover 96,2541,South Africa,A,CB,
Samukelo Kabini,1518180,Molde FK,661,South Africa,A,FB,
Khulumani Ndamane,1910804,Mamelodi Sundowns,7665,South Africa,A,CB,
Tholo Thabang Matuludi,1470073,Polokwane City,25002,South Africa,A,FB,
Kamogelo Sebelebele,1210653,Orlando Pirates,7668,South Africa,A,"FB, W",
Bradley Cross,1085536,Kaizer Chiefs,7663,South Africa,A,"CB, FB",
Olwethu Makhanya,1415019,Philadelphia Union,39833,South Africa,A,CB,
Teboho Mokoena,881117,Mamelodi Sundowns,7665,South Africa,A,"DM, CM",
Thalente Mbatha,1014410,Orlando Pirates,7668,South Africa,A,"DM, CM",
Jayden Adams,1049669,Mamelodi Sundowns,7665,South Africa,A,"DM, CM",
Themba Zwane,559504,Mamelodi Sundowns,7665,South Africa,A,"AM, ST",
Lyle Foster,901907,Burnley,6,South Africa,A,ST,
Evidence Makgopa,1022170,Orlando Pirates,7668,South Africa,A,ST,
Oswin Appollis,984505,Orlando Pirates,7668,South Africa,A,W,
Iqraam Rayners,991024,Mamelodi Sundowns,7665,South Africa,A,ST,
Relebohile Mofokeng,1564998,Orlando Pirates,7668,South Africa,A,"AM, W",
Thapelo Maseko,1179164,AEL Limassol,3407,South Africa,A,WM,
Tshepang Moremi,1101745,Orlando Pirates,7668,South Africa,A,W,
Ricardo Goss,966059,Siwelele FC,1113108,South Africa,A,GK,
Nkosinathi Sibisi,902117,Orlando Pirates,7668,South Africa,A,CB,
Siphephelo Sithole,822684,Tondela,38396,South Africa,A,"DM, CM",
Kim Seung-gyu,235686,FC Tokyo,3147,South Korea,A,GK,
Jo Hyeon-Woo,2033919,Daejeon Hana Citizen,7645,South Korea,A,GK,
Kim Min-jae,896569,FC Bayern München,2672,South Korea,A,CB,
Kim Moon-hwan,921263,Daejeon Hana Citizen,7645,South Korea,A,FB,
Wi-je Cho,1154613,Jeonbuk Hyundai Motors,6908,South Korea,A,CB,
Lee Tae-seok,1002355,FK Austria Wien,2203,South Korea,A,"FB, WM",
Kim Tae-hyeon,976203,Kashima Antlers,3134,South Korea,A,"CB, FB",
Jens Castrop,1019312,Borussia M'gladbach,2527,South Korea,A,"CM, AM",
Lee Gi-hyuk,1104925,Gangwon FC,34220,South Korea,A,"DM, CM, AM",
Jae-sung Lee,537552,1. FSV Mainz 05,2556,South Korea,A,"CM, AM",
Hwang Hee-chan,786186,Wolverhampton,3,South Korea,A,"W, ST",
Hwang In-beom,889689,Feyenoord,2959,South Korea,A,"DM, CM, AM",
Yang Hyun-Jun,1103531,Celtic,2352,South Korea,A,W,
Son Heung-min,111505,Los Angeles FC,274650,South Korea,A,"W, ST",
Song Bum-keun,940057,Jeonbuk Hyundai Motors,6908,South Korea,A,GK,
Young-woo Seol,1019333,FK Crvena zvezda,5149,South Korea,A,FB,
Jin-seob Park,1026069,Zhejiang,34697,South Korea,A,"CB, DM, CM",
Han-Beom Lee,1002448,FC Midtjylland,1289,South Korea,A,"CB, FB",
Kang-in Lee,917087,Paris Saint-Germain,1644,South Korea,A,"CM, W",
Seung Ho Paik,881307,Birmingham City,9,South Korea,A,"DM, CM",
Jin-gyu Kim,1009476,Jeonbuk Hyundai Motors,6908,South Korea,A,"DM, CM, AM",
Dong-gyeong Lee,932316,Ulsan HD,7653,South Korea,A,"AM, ST",
Jun-Ho Bae,1185869,Stoke City,29,South Korea,A,"AM, W",
Ji-sung Eom,1002508,Swansea City,74,South Korea,A,"WM, W",
Gue-sung Cho,1014281,FC Midtjylland,1289,South Korea,A,ST,
Hyeon-gyu Oh,1010634,Beşiktaş JK,3050,South Korea,A,ST,
Matěj Kovář,927366,PSV Eindhoven,2952,Czechia,A,GK,
Jindřich Staněk,280601,SK Slavia Praha,2216,Czechia,A,GK,
Lukáš Horníček,963744,Sporting Braga,2999,Czechia,A,GK,
Vladimír Coufal,138024,TSG Hoffenheim,2569,Czechia,A,"FB, WM",
Tomáš Holeš,151440,SK Slavia Praha,2216,Czechia,A,"CB, FB",
Ladislav Krejčí,856250,Wolverhampton,3,Czechia,A,"CB, FB",
David Zima,963084,SK Slavia Praha,2216,Czechia,A,"CB, FB",
David Jurásek,1030711,SK Slavia Praha,2216,Czechia,A,"FB, WM",
Robin Hranáč,957615,TSG Hoffenheim,2569,Czechia,A,"CB, FB",
Štěpán Chaloupek,1144329,SK Slavia Praha,2216,Czechia,A,"CB, FB",
Tomáš Souček,799041,West Ham United,37,Czechia,A,"DM, CM, AM",
Vladimír Darida,109002,FC Hardec Králové,2217,Czechia,A,"DM, CM, AM",
Lukáš Provod,846122,SK Slavia Praha,2216,Czechia,A,"AM, W",
Michal Sadílek,825731,SK Slavia Praha,2216,Czechia,A,"DM, CM",
Pavel Šulc,957604,Olympique Lyonnais,1649,Czechia,A,AM,
Jaroslav Zelený,118204,AC Sparta Praha,2218,Czechia,A,"CB, FB, WM",
David Douděra,891442,SK Slavia Praha,2216,Czechia,A,WM,
Lukáš Červ,952114,FK Viktoria Plzeň,4502,Czechia,A,"DM, CM",
Hugo Sochurek,1931626,AC Sparta Praha,2218,Czechia,A,CM,
Alexandr Sojka,1403491,FK Viktoria Plzeň,4502,Czechia,A,"CM, AM",
Denis Višinský,1088727,FK Viktoria Plzeň,4502,Czechia,A,"AM, W",
Patrik Schick,280609,Bayer 04 Leverkusen,2681,Czechia,A,ST,
Adam Hložek,963801,TSG Hoffenheim,2569,Czechia,A,"AM, ST",
Jan Kuchta,824139,AC Sparta Praha,2218,Czechia,A,ST,
Tomáš Chorý,188307,SK Slavia Praha,2216,Czechia,A,ST,
Mojmír Chytil,826049,SK Slavia Praha,2216,Czechia,A,ST,
Guillermo Ochoa,15497,AEL Limassol,3407,Mexico,A,GK,
Raúl Rangel,990408,CD Guadalajara,1938,Mexico,A,GK,
Carlos Acevedo,840519,Santos Laguna,1948,Mexico,A,GK,
Jesús Gallardo,770253,CD Toluca,1931,Mexico,A,FB,
César Montes,818406,Lokomotiv Moscow,2320,Mexico,A,CB,
Jorge Sánchez,832868,PAOK,3251,Mexico,A,"FB, WM",
Johan Vásquez,889785,Genoa,2713,Mexico,A,"CB, FB",
Israel Reyes,989236,Club América,1939,Mexico,A,"CB, FB",
Mateo Chávez,1638685,AZ Alkmaar,2950,Mexico,A,FB,
Edson Álvarez,847151,Fenerbahçe,3052,Mexico,A,"DM, CM",
Orbelín Pineda,850404,AEK Athens,3250,Mexico,A,"DM, CM, AM",
Roberto Alvarado,865500,CD Guadalajara,1938,Mexico,A,"W, ST",
Luis Romo,1172773,CD Guadalajara,1938,Mexico,A,"CB, DM, CM",
Luis Chávez,757770,Dynamo Moscow,2315,Mexico,A,"DM, CM",
Erik Lira,944068,Cruz Azul,1947,Mexico,A,"CB, DM, CM",
Gilberto Mora,1914576,Club Tijuana,36525,Mexico,A,W,
Brian Gutiérrez,1023088,CD Guadalajara,1938,Mexico,A,"CM, AM, W",
Obed Vargas,1119345,Atlético Madrid,2836,Mexico,A,"CM, DM",
Álvaro Fidalgo,838629,Real Betis,2816,Mexico,A,"DM, CM, AM",
Raúl Jiménez,192442,Fulham,43,Mexico,A,ST,
Alexis Vega,815637,CD Toluca,1931,Mexico,A,"AM, W",
Santiago Giménez,892141,AC Milan,2692,Mexico,A,ST,
César Huerta,905257,RSC Anderlecht,2900,Mexico,A,W,
Julián Quiñones,843114,Al-Qadsiah,56027,Mexico,A,"W, ST",
Guillermo Martínez,795282,Pumas UNAM,1933,Mexico,A,ST,
Armando González,1595162,CD Guadalajara,1938,Mexico,A,ST,
Nikola Vasilj,325061,FC St. Pauli,2526,Bosnia & Herzegovina,B,GK,
Martin Zlomislić,885719,HNK Rijeka,2039,Bosnia & Herzegovina,B,GK,
Mladen Jurkas,1587186,FK Borac Banja Luka,5235,Bosnia & Herzegovina,B,GK,
Sead Kolašinac,142148,Atalanta,2686,Bosnia & Herzegovina,B,"CB, FB",
Dennis Hadžikadunić,802830,Sampdoria,2711,Bosnia & Herzegovina,B,CB,
Nikola Katić,831488,FC Schalke 04,2530,Bosnia & Herzegovina,B,CB,
Tarik Muharemović,1118177,Sassuolo,2793,Bosnia & Herzegovina,B,CB,
Nihad Mujakić,858004,Gaziantep FK,5138,Bosnia & Herzegovina,B,"CB, FB",
Stjepan Radeljić,843746,HNK Rijeka,2039,Bosnia & Herzegovina,B,CB,
Nidal Čelik,1399503,RC Lens,1648,Bosnia & Herzegovina,B,"CB, FB",
Amir Hadžiahmetović,795421,Hull City,96,Bosnia & Herzegovina,B,"DM, CM",
Benjamin Tahirović,1102659,Brøndby IF,1281,Bosnia & Herzegovina,B,"DM, CM",
Armin Gigović,988893,BSC Young Boys,2445,Bosnia & Herzegovina,B,"DM, CM",
Dženis Burnić,844447,Karlsruher SC,2553,Bosnia & Herzegovina,B,CM,
Esmir Bajraktarević,1136110,PSV Eindhoven,2952,Bosnia & Herzegovina,B,W,
Amar Memić,1129610,FC Viktoria Plzeň,4502,Bosnia & Herzegovina,B,"WM, W",
Ivan Šunjić,283833,Pafos,171626,Bosnia & Herzegovina,B,"DM, CM",
Kerim Alajbegović,1425366,Red Bull Salzburg,2046,Bosnia & Herzegovina,B,W,
Ermin Mahmic,1149353,FC Slovan Liberec,2219,Bosnia & Herzegovina,B,"CM, AM",
Edin Džeko,14990,FC Schalke 04,2530,Bosnia & Herzegovina,B,ST,
