study_id,dataset_name,competition_key,competition_name,season_start_year,source_file,repository_created_utc,matches,clubs,total_goals,goals_per_match,home_goals_per_match,away_goals_per_match,mean_home_goal_difference,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,both_teams_to_score_rate,home_clean_sheet_rate,away_clean_sheet_rate,zero_goal_match_rate,one_goal_match_rate,two_goal_match_rate,three_goal_match_rate,four_plus_goal_match_rate,one_goal_margin_rate,three_plus_goal_margin_rate,home_points_per_match,away_points_per_match
study_042,league_season_repository,bundesliga,Bundesliga,2021,league_fingerprints_2021.csv,2026-07-23T08:21:44+00:00,305,18,952,3.121311475409836,1.7672131147540984,1.3540983606557375,0.4131147540983607,143,73,89,0.4688524590163934,0.2393442622950819,0.2918032786885245,0.6098360655737705,0.2786885245901639,0.1639344262295081,0.0524590163934426,0.1147540983606557,0.2459016393442623,0.1934426229508196,0.3934426229508196,0.340983606557377,0.2163934426229508,1.6459016393442625,1.1147540983606556
study_042,league_season_repository,bundesliga,Bundesliga,2022,league_fingerprints_2022.csv,2026-07-23T08:21:44+00:00,306,18,971,3.173202614379085,1.8562091503267972,1.3169934640522876,0.5392156862745098,145,75,86,0.4738562091503268,0.2450980392156862,0.2810457516339869,0.5915032679738562,0.2777777777777778,0.1797385620915032,0.0490196078431372,0.1045751633986928,0.2418300653594771,0.2254901960784313,0.3790849673202614,0.3137254901960784,0.218954248366013,1.6666666666666667,1.088235294117647
study_042,league_season_repository,bundesliga,Bundesliga,2023,league_fingerprints_2023.csv,2026-07-23T08:21:44+00:00,306,18,985,3.218954248366013,1.80718954248366,1.411764705882353,0.3954248366013072,134,81,91,0.4379084967320261,0.2647058823529412,0.2973856209150327,0.6176470588235294,0.2450980392156862,0.1797385620915032,0.0424836601307189,0.1045751633986928,0.2287581699346405,0.2124183006535947,0.4117647058823529,0.3071895424836601,0.2091503267973856,1.5784313725490196,1.156862745098039
study_042,league_season_repository,bundesliga,Bundesliga,2024,league_fingerprints_2024.csv,2026-07-23T08:21:44+00:00,306,18,959,3.133986928104575,1.6339869281045751,1.5,0.1339869281045751,118,78,110,0.3856209150326797,0.2549019607843137,0.3594771241830065,0.5718954248366013,0.2549019607843137,0.2450980392156862,0.0718954248366013,0.1209150326797385,0.2091503267973856,0.1699346405228758,0.4281045751633986,0.3235294117647059,0.1732026143790849,1.411764705882353,1.3333333333333333
study_042,league_season_repository,bundesliga,Bundesliga,2025,league_fingerprints_2025.csv,2026-07-23T08:21:44+00:00,306,18,990,3.235294117647059,1.7777777777777777,1.457516339869281,0.3202614379084967,134,75,97,0.4379084967320261,0.2450980392156862,0.3169934640522875,0.6176470588235294,0.2450980392156862,0.1764705882352941,0.0392156862745098,0.1241830065359477,0.1993464052287581,0.2091503267973856,0.4281045751633986,0.3464052287581699,0.1928104575163398,1.5588235294117647,1.196078431372549
study_042,league_season_repository,la_liga,La Liga,2021,league_fingerprints_2021.csv,2026-07-23T08:21:44+00:00,380,20,951,2.5026315789473683,1.4210526315789471,1.081578947368421,0.3394736842105263,165,111,104,0.4342105263157895,0.2921052631578947,0.2736842105263158,0.4868421052631579,0.3763157894736842,0.25,0.1131578947368421,0.1947368421052631,0.2473684210526315,0.1868421052631579,0.2578947368421053,0.3763157894736842,0.1368421052631579,1.5947368421052632,1.113157894736842
study_042,league_season_repository,la_liga,La Liga,2022,league_fingerprints_2022.csv,2026-07-23T08:21:44+00:00,380,20,955,2.513157894736842,1.4552631578947368,1.0578947368421052,0.3973684210526316,182,89,109,0.4789473684210526,0.2342105263157894,0.2868421052631579,0.5026315789473684,0.3263157894736842,0.2394736842105263,0.0684210526315789,0.2236842105263158,0.231578947368421,0.25,0.2263157894736842,0.4552631578947368,0.1263157894736842,1.6710526315789471,1.0947368421052632
study_042,league_season_repository,la_liga,La Liga,2023,league_fingerprints_2023.csv,2026-07-23T08:21:44+00:00,380,20,1005,2.6447368421052637,1.4842105263157894,1.1605263157894736,0.3236842105263158,167,107,106,0.4394736842105263,0.281578947368421,0.2789473684210526,0.4947368421052631,0.3394736842105263,0.2473684210526315,0.081578947368421,0.2026315789473684,0.2552631578947368,0.1894736842105263,0.2710526315789474,0.3973684210526316,0.1289473684210526,1.6,1.118421052631579
study_042,league_season_repository,la_liga,La Liga,2024,league_fingerprints_2024.csv,2026-07-23T08:21:44+00:00,380,20,995,2.6184210526315788,1.4526315789473685,1.1657894736842105,0.2868421052631579,169,97,114,0.4447368421052631,0.2552631578947368,0.3,0.5421052631578948,0.3052631578947368,0.2078947368421052,0.0552631578947368,0.2210526315789473,0.2368421052631578,0.2473684210526315,0.2394736842105263,0.4631578947368421,0.1368421052631579,1.5894736842105264,1.1552631578947368
study_042,league_season_repository,la_liga,La Liga,2025,league_fingerprints_2025.csv,2026-07-23T08:21:44+00:00,380,20,1024,2.694736842105263,1.5736842105263158,1.1210526315789473,0.4526315789473684,186,93,101,0.4894736842105263,0.2447368421052631,0.2657894736842105,0.5657894736842105,0.2921052631578947,0.181578947368421,0.0394736842105263,0.1789473684210526,0.281578947368421,0.2447368421052631,0.2552631578947368,0.4210526315789473,0.1236842105263157,1.7131578947368422,1.0421052631578946
